ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt0359677,Mazloom,1986.0,,4.4,7.0,"Action, Crime, Drama            ",hindi
tt7471004,The House Next Door,2017.0,137.0,6.8,2077.0,Horror            ,tamil
tt1230165,Rock On!!,2008.0,145.0,7.7,21008.0,"Drama, Music            ",hindi
tt0430328,Madhoshi,2004.0,122.0,4.5,390.0,"Musical, Mystery, Drama            ",hindi
tt0334157,Premabhishekam,1982.0,,7.2,17.0,Romance            ,telugu
tt8042112,Gypsy,2020.0,145.0,6.6,580.0,Drama            ,tamil
tt1017456,Race,,149.0,6.7,13217.0,"Action, Crime, Drama            ",hindi
tt3990278,Diary of a Badman,2010.0,20.0,8.9,17.0,"Short, Comedy            ",urdu
tt0214577,Chatrapati Shivaji Maharaj,1961.0,,6.5,14.0,"Biography, History            ",hindi
tt3744098,Naku Penta Naku Taka,2014.0,135.0,4.9,78.0,Thriller            ,malayalam
tt0044952,Nagarik,1952.0,127.0,7.5,188.0,Drama            ,bengali
tt4471488,Mythri,2015.0,137.0,7.4,300.0,Drama            ,malayalam
tt0349058,88 Antop Hill,2003.0,119.0,4.7,63.0,"Mystery, Thriller            ",hindi
tt2290133,Ayyare,2012.0,129.0,6.5,104.0,"Drama, Family            ",telugu
tt2004191,Chaappa Kurish,2011.0,123.0,7.1,1162.0,Drama            ,malayalam
tt3686130,1 by Two,2014.0,150.0,5.4,347.0,Thriller            ,malayalam
tt0845503,Nigehbaan: The Third Eye,2005.0,,2.4,18.0,Thriller            ,hindi
tt7886740,Asehi Ekada Vhave,2018.0,119.0,6.8,32.0,Drama            ,marathi
tt1039995,U Me Aur Hum,2008.0,156.0,5.9,2424.0,"Drama, Romance            ",hindi
tt0264749,Kalapi,1966.0,137.0,7.4,7.0,,gujarati
tt13989310,Koi Jaane Na,2021.0,141.0,2.3,114.0,Thriller            ,hindi
tt2889234,Theeya Velai Seiyyanum Kumaru,2013.0,130.0,6.1,1386.0,Comedy            ,telugu
tt0107867,Prateeksha,1993.0,,5.6,28.0,"Action, Crime            ",hindi
tt0233326,Bhabhi,1957.0,165.0,6.7,46.0,Drama            ,hindi
tt0400575,Kerala House Udan Vilpanakku,2004.0,121.0,4.0,99.0,Comedy            ,malayalam
tt0246926,Shree Krishna Leelai,1977.0,130.0,6.0,5.0,Drama            ,tamil
tt8490886,Memory Card,2018.0,100.0,5.5,12.0,Comedy            ,marathi
tt1114733,Bharya Swantham Suhruthu,2009.0,160.0,4.9,28.0,"Comedy, Drama            ",malayalam
tt1629376,7 Khoon Maaf,2011.0,137.0,6.1,5582.0,"Drama, Mystery, Thriller            ",hindi
